"KO","EX_O2","MAX_ATP","CI","CII","CIII","CIV","CV","PDH"
"NONE",-1.98,12.3251968427991,3.4159174159181,0.506666666663023,3.9531681651672,1.97658408258362,9.82353017613025,0.610666666665136
"CI",-1.98,8.75818648648495,0,0.516166666666322,3.95999999999992,1.98000000000002,6.25701981982024,0.606166666667767
"CII",-1.98,12.3038374166336,3.92207792207694,0,3.95215584415371,1.97607792207685,10.3088374166332,0.71199999999965
"CIII",-0.1063,2.10262372445074,0.299556952979515,-0.303257396027561,0,0,0.410881120473164,0.0613713019919535
"CIV",-0.1063,2.10262372274441,0.299556951946556,-0.303257396033814,0,0,0.410881119382793,0.061371301968517
"CV",-1.98,2.51433333333478,-4.54747350886464e-13,0.519333333333293,3.55599999999959,1.77799999999979,0,0.683333333333267
"PDH",-1.98,11.888685603594,3.09685966615427,0.473956521711898,3.95380628070677,1.97690314035339,9.70546821380788,0
"CI,CII",-1.98,8.38847459460547,0,0,3.96000000000004,1.98000000000002,6.39347459456189,0.685800000030399
"CI,CIII",-0.048,1.84821801801925,0,-0.153333333333762,0,0,0.00655135135104956,0.0586666666666662
"CI,CIV",-0.048,1.84821801801698,0,-0.153333333333876,-1.13686837721616e-13,0,0.00655135135218643,0.0586666666677254
"CI,CV",-1.98,2.51433333334204,0,0.519333333332952,3.95999999999594,1.97999999999794,0,0.683333333334219
"CI,PDH",-1.98,8.64054947121045,0,0.723260869566502,3.95999999999492,1.98000000000002,6.33285381903625,0
"CII,CIII",-0.005,1.815594144142,0,0,0,0,-0.00798918918803793,0.00200000000018149
"CII,CIV",-0.0867,1.81559414413909,4.32009983342141e-12,0,0,0,-0.00798918919338121,0.00199999999995271
"CII,CV",-0.4535,1.99500000000103,0,0,0.458000000001903,0.229000000000951,0,0.104000000000951
"CII,PDH",-1.98,11.7787270780356,3.48312214101315,0,3.95303375571859,1.97651687785928,10.0944112885651,0
"CIII,CIV",-0.1063,2.1026237244566,0.29955695297599,-0.303257396020399,0,0,0.410881120467707,0.0613713019868439
"CIII,CV",-0.1212,1.88825998621059,0.0898998410439162,-0.106740013787316,0,4.56011310550138e-14,0,0.031399841043942
"CIII,PDH",-0.1063,2.10073912745816,0.329109703235872,-0.362780593531966,0,0,0.46851972098932,0
"CIV,CV",-0.1212,1.88825998621616,0.0898998410445984,-0.106740013788112,0,0,0,0.0313998410427674
"CIV,PDH",-0.1063,2.10073912745611,0.32910970323428,-0.362780593530715,0,0,0.468519720987956,0
"CV,PDH",-1.98,2.37100000000123,2.82717282717192,0.536000000000286,3.95434565434573,1.97717282717285,0,0
